State,Industry,Series ID,Month,Turnover
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Apr,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 May,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Jun,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Jul,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Aug,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Sep,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Oct,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Nov,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1982 Dec,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Jan,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Feb,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Mar,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Apr,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 May,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Jun,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Jul,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Aug,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Sep,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Oct,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Nov,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1983 Dec,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Jan,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Feb,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Mar,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Apr,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 May,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Jun,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Jul,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Aug,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Sep,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Oct,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Nov,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1984 Dec,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1985 Jan,NA
Northern Territory,"Furniture, floor coverings, houseware and textile goods retailing",A3349526J,1985 Feb,NA
